Sector,Tiene_Parqueadero_Num,Precio_Venta_COP,Estrato,Area_Construida_m2,Distancia_CC_SanNicolas_km,Conjunto_Cerrado_Num,Urbana_Rural_Num,Topografia_Num
Comuna 2 (San Antonio),1,837000000,5,150.64,3.5,0,1,0
Corregimiento Occidente (Llanogrande),1,4868000000,6,564.99,12.0,1,0,1
Corregimiento Occidente (Llanogrande),1,3835000000,6,436.14,12.0,1,0,1
Corregimiento Centro (Río Abajo),1,1009000000,3,832.99,6.0,0,0,2
Comuna 4 (El Porvenir),1,683000000,4,129.18,2.5,1,1,0
Comuna 1 (Centro Histórico),0,460000000,2,132.14,1.5,0,1,0
Comuna 3 (Uribe Jaramillo),1,528000000,2,103.74,12.0,0,1,1
Comuna 1 (Centro Histórico),0,524000000,3,130.55,1.5,0,1,0
Comuna 4 (El Porvenir),1,426000000,3,91.07,2.5,1,1,0
Comuna 3 (Uribe Jaramillo),1,602000000,2,118.74,12.0,0,1,1
Corregimiento Norte (Galicia/La Mosca),1,1096000000,3,138.1,10.0,0,0,3
Corregimiento Occidente (Llanogrande),1,4378000000,5,627.72,12.0,1,0,1
Comuna 4 (El Porvenir),1,1016000000,4,205.39,2.5,1,1,0
Corregimiento Centro (Río Abajo),1,2019000000,4,1222.81,6.0,0,0,2
Corregimiento Norte (Galicia/La Mosca),1,652000000,2,96.16,10.0,0,0,3
Corregimiento Occidente (Llanogrande),1,4032000000,5,570.76,12.0,1,0,1
Comuna 2 (San Antonio),1,699000000,5,130.79,3.5,0,1,0
Corregimiento Sur (Cabeceras),1,2964000000,4,311.1,14.0,1,0,2
Comuna 4 (El Porvenir),1,892000000,3,203.5,2.5,1,1,0
Comuna 2 (San Antonio),1,442000000,4,93.64,3.5,0,1,0
Comuna 4 (El Porvenir),1,945000000,4,188.95,2.5,1,1,0
Corregimiento Centro (Río Abajo),1,1583000000,3,1331.04,6.0,0,0,2
Comuna 4 (El Porvenir),1,787000000,3,174.38,2.5,1,1,0
Comuna 2 (San Antonio),1,709000000,5,134.21,3.5,0,1,0
Corregimiento Centro (Río Abajo),1,1325000000,3,1135.15,6.0,0,0,2
Comuna 3 (Uribe Jaramillo),1,604000000,2,123.09,12.0,0,1,1
Comuna 1 (Centro Histórico),0,713000000,4,151.81,1.5,0,1,0
Corregimiento Occidente (Llanogrande),1,2711000000,5,387.93,12.0,1,0,1
Comuna 4 (El Porvenir),1,500000000,3,109.16,2.5,1,1,0
Corregimiento Occidente (Llanogrande),1,6860000000,6,808.59,12.0,1,0,1
Corregimiento Sur (Cabeceras),1,3025000000,4,296.75,14.0,1,0,2
Comuna 2 (San Antonio),1,786000000,5,137.37,3.5,0,1,0
Corregimiento Occidente (Llanogrande),1,4050000000,6,473.28,12.0,1,0,1
Comuna 2 (San Antonio),1,838000000,4,175.9,3.5,0,1,0
Corregimiento Occidente (Llanogrande),1,5848000000,6,662.47,12.0,1,0,1
Comuna 1 (Centro Histórico),0,544000000,2,150.35,1.5,0,1,0
Comuna 1 (Centro Histórico),0,731000000,4,146.3,1.5,0,1,0
Corregimiento Centro (Río Abajo),1,1371000000,3,1094.44,6.0,0,0,2
Comuna 1 (Centro Histórico),0,422000000,2,124.91,1.5,0,1,0
Corregimiento Centro (Río Abajo),1,1674000000,3,1340.05,6.0,0,0,2
Comuna 1 (Centro Histórico),0,775000000,4,164.74,1.5,0,1,0
Comuna 1 (Centro Histórico),0,437000000,2,123.04,1.5,0,1,0
Comuna 1 (Centro Histórico),0,980000000,4,197.57,1.5,0,1,0
Comuna 2 (San Antonio),1,895000000,4,177.75,3.5,0,1,0
Comuna 4 (El Porvenir),1,1089000000,4,204.34,2.5,1,1,0
Corregimiento Centro (Río Abajo),1,2258000000,4,1420.52,6.0,0,0,2
Corregimiento Occidente (Llanogrande),1,4255000000,6,519.53,12.0,1,0,1
Comuna 1 (Centro Histórico),0,773000000,3,185.62,1.5,0,1,0
Comuna 2 (San Antonio),1,746000000,4,150.63,3.5,0,1,0
Comuna 2 (San Antonio),1,692000000,4,148.01,3.5,0,1,0
Comuna 2 (San Antonio),1,590000000,3,127.63,3.5,0,1,0
Corregimiento Centro (Río Abajo),1,709000000,3,590.99,6.0,0,0,2
Comuna 4 (El Porvenir),1,854000000,4,168.54,2.5,1,1,0
Corregimiento Centro (Río Abajo),1,836000000,3,668.36,6.0,0,0,2
Corregimiento Occidente (Llanogrande),1,4150000000,6,496.03,12.0,1,0,1
Comuna 4 (El Porvenir),1,731000000,3,152.81,2.5,1,1,0
Comuna 3 (Uribe Jaramillo),1,345000000,2,71.63,12.0,0,1,1
Corregimiento Norte (Galicia/La Mosca),1,1159000000,2,185.25,10.0,0,0,3
Comuna 2 (San Antonio),1,509000000,3,115.21,3.5,0,1,0
Corregimiento Centro (Río Abajo),1,2048000000,4,1323.84,6.0,0,0,2
Comuna 3 (Uribe Jaramillo),1,654000000,3,114.05,12.0,0,1,1
Corregimiento Sur (Cabeceras),1,2885000000,5,235.48,14.0,1,0,2
Corregimiento Centro (Río Abajo),1,1339000000,4,810.57,6.0,0,0,2
Comuna 1 (Centro Histórico),0,442000000,3,102.98,1.5,0,1,0
Corregimiento Norte (Galicia/La Mosca),1,1347000000,2,200.3,10.0,0,0,3
Comuna 1 (Centro Histórico),0,534000000,4,115.24,1.5,0,1,0
Comuna 4 (El Porvenir),1,789000000,3,170.47,2.5,1,1,0
Corregimiento Norte (Galicia/La Mosca),1,2383000000,4,277.99,10.0,0,0,3
Corregimiento Centro (Río Abajo),1,1553000000,3,1287.18,6.0,0,0,2
Corregimiento Occidente (Llanogrande),1,3470000000,5,486.12,12.0,1,0,1
Comuna 3 (Uribe Jaramillo),1,594000000,2,113.82,12.0,0,1,1
Corregimiento Occidente (Llanogrande),1,5259000000,5,754.61,12.0,1,0,1
Corregimiento Centro (Río Abajo),1,1733000000,3,1471.95,6.0,0,0,2
Comuna 4 (El Porvenir),1,1281000000,4,239.33,2.5,1,1,0
Comuna 1 (Centro Histórico),0,745000000,3,175.38,1.5,0,1,0
Corregimiento Norte (Galicia/La Mosca),1,1887000000,3,248.77,10.0,0,0,3
Corregimiento Occidente (Llanogrande),1,2941000000,6,333.47,12.0,1,0,1
Corregimiento Centro (Río Abajo),1,1889000000,4,1135.5,6.0,0,0,2
Corregimiento Occidente (Llanogrande),1,3545000000,5,496.12,12.0,1,0,1
Corregimiento Centro (Río Abajo),1,1170000000,3,929.96,6.0,0,0,2
Comuna 1 (Centro Histórico),0,534000000,2,159.38,1.5,0,1,0
Corregimiento Norte (Galicia/La Mosca),1,1171000000,3,161.95,10.0,0,0,3
Comuna 3 (Uribe Jaramillo),1,562000000,2,114.18,12.0,0,1,1
Comuna 1 (Centro Histórico),0,698000000,4,141.35,1.5,0,1,0
Corregimiento Occidente (Llanogrande),1,3614000000,5,501.57,12.0,1,0,1
Comuna 3 (Uribe Jaramillo),1,732000000,3,120.38,12.0,0,1,1
Corregimiento Centro (Río Abajo),1,1234000000,3,991.68,6.0,0,0,2
Comuna 3 (Uribe Jaramillo),1,667000000,3,111.52,12.0,0,1,1
Corregimiento Centro (Río Abajo),1,1631000000,4,1036.13,6.0,0,0,2
Comuna 1 (Centro Histórico),0,586000000,3,142.66,1.5,0,1,0
Corregimiento Occidente (Llanogrande),1,6148000000,6,689.02,12.0,1,0,1
Comuna 4 (El Porvenir),1,850000000,4,160.97,2.5,1,1,0
Corregimiento Occidente (Llanogrande),1,3274000000,6,397.09,12.0,1,0,1
Corregimiento Centro (Río Abajo),1,1103000000,3,911.3,6.0,0,0,2
Comuna 2 (San Antonio),1,779000000,4,153.27,3.5,0,1,0
Corregimiento Norte (Galicia/La Mosca),1,2301000000,4,258.13,10.0,0,0,3
Corregimiento Sur (Cabeceras),1,1693000000,5,145.38,14.0,1,0,2
Comuna 4 (El Porvenir),1,796000000,4,147.45,2.5,1,1,0
Comuna 3 (Uribe Jaramillo),1,686000000,3,112.5,12.0,0,1,1
Comuna 4 (El Porvenir),1,852000000,4,164.86,2.5,1,1,0
Corregimiento Norte (Galicia/La Mosca),1,887000000,2,139.4,10.0,0,0,3
Comuna 3 (Uribe Jaramillo),1,587000000,2,117.37,12.0,0,1,1
Corregimiento Norte (Galicia/La Mosca),1,1243000000,4,149.77,10.0,0,0,3
Comuna 3 (Uribe Jaramillo),1,719000000,3,114.87,12.0,0,1,1
Comuna 4 (El Porvenir),1,604000000,4,121.6,2.5,1,1,0
Comuna 3 (Uribe Jaramillo),1,505000000,2,105.98,12.0,0,1,1
Comuna 3 (Uribe Jaramillo),1,823000000,3,137.53,12.0,0,1,1
Comuna 2 (San Antonio),1,840000000,4,166.61,3.5,0,1,0
Corregimiento Occidente (Llanogrande),1,4969000000,6,597.81,12.0,1,0,1
Corregimiento Occidente (Llanogrande),1,5115000000,5,677.16,12.0,1,0,1
Corregimiento Sur (Cabeceras),1,4770000000,4,500.66,14.0,1,0,2
Corregimiento Sur (Cabeceras),1,2766000000,4,288.58,14.0,1,0,2
Corregimiento Centro (Río Abajo),1,2677000000,4,1602.22,6.0,0,0,2
Corregimiento Centro (Río Abajo),1,2537000000,4,1596.53,6.0,0,0,2
Corregimiento Centro (Río Abajo),1,1332000000,3,1166.0,6.0,0,0,2
Comuna 2 (San Antonio),1,841000000,5,152.83,3.5,0,1,0
Corregimiento Sur (Cabeceras),1,6288000000,6,462.53,14.0,1,0,2
Corregimiento Norte (Galicia/La Mosca),1,1515000000,2,244.22,10.0,0,0,3
Corregimiento Centro (Río Abajo),1,2148000000,4,1301.87,6.0,0,0,2
Corregimiento Centro (Río Abajo),1,1358000000,3,1188.5,6.0,0,0,2
Comuna 4 (El Porvenir),1,963000000,3,203.54,2.5,1,1,0
Comuna 1 (Centro Histórico),0,567000000,3,137.92,1.5,0,1,0
Corregimiento Norte (Galicia/La Mosca),1,2158000000,4,264.94,10.0,0,0,3
Corregimiento Centro (Río Abajo),1,1468000000,4,886.91,6.0,0,0,2
Corregimiento Centro (Río Abajo),1,1764000000,4,1061.37,6.0,0,0,2
Corregimiento Centro (Río Abajo),1,678000000,3,582.35,6.0,0,0,2
Comuna 1 (Centro Histórico),0,236000000,2,68.06,1.5,0,1,0
Comuna 1 (Centro Histórico),0,514000000,3,119.9,1.5,0,1,0
Comuna 2 (San Antonio),1,697000000,3,149.2,3.5,0,1,0
Corregimiento Norte (Galicia/La Mosca),1,1441000000,2,222.36,10.0,0,0,3
Comuna 2 (San Antonio),1,794000000,4,162.54,3.5,0,1,0
Comuna 3 (Uribe Jaramillo),1,596000000,3,99.7,12.0,0,1,1
Comuna 1 (Centro Histórico),0,391000000,2,106.32,1.5,0,1,0
Comuna 4 (El Porvenir),1,552000000,3,125.74,2.5,1,1,0
Corregimiento Sur (Cabeceras),1,4470000000,6,310.39,14.0,1,0,2
Comuna 4 (El Porvenir),1,767000000,4,148.15,2.5,1,1,0
Corregimiento Sur (Cabeceras),1,5102000000,6,350.3,14.0,1,0,2
Comuna 1 (Centro Histórico),0,550000000,3,128.71,1.5,0,1,0
Comuna 1 (Centro Histórico),0,419000000,3,105.46,1.5,0,1,0
Comuna 1 (Centro Histórico),0,675000000,4,139.01,1.5,0,1,0
Comuna 2 (San Antonio),1,548000000,5,103.36,3.5,0,1,0
Corregimiento Norte (Galicia/La Mosca),1,893000000,4,108.12,10.0,0,0,3
Corregimiento Sur (Cabeceras),1,5073000000,6,365.33,14.0,1,0,2
Corregimiento Norte (Galicia/La Mosca),1,1066000000,2,169.86,10.0,0,0,3
Comuna 2 (San Antonio),1,623000000,3,145.57,3.5,0,1,0
Comuna 2 (San Antonio),1,825000000,3,182.52,3.5,0,1,0
Corregimiento Occidente (Llanogrande),1,3731000000,6,421.44,12.0,1,0,1
Comuna 4 (El Porvenir),1,544000000,3,114.91,2.5,1,1,0
Comuna 4 (El Porvenir),1,893000000,4,179.27,2.5,1,1,0
Comuna 3 (Uribe Jaramillo),1,709000000,3,119.48,12.0,0,1,1
Corregimiento Centro (Río Abajo),1,1185000000,3,1034.32,6.0,0,0,2
Comuna 2 (San Antonio),1,553000000,3,128.95,3.5,0,1,0
Corregimiento Sur (Cabeceras),1,4385000000,4,428.5,14.0,1,0,2
Corregimiento Occidente (Llanogrande),1,2286000000,5,324.76,12.0,1,0,1
Corregimiento Occidente (Llanogrande),1,4598000000,6,548.73,12.0,1,0,1
Corregimiento Centro (Río Abajo),1,1179000000,4,717.47,6.0,0,0,2
Corregimiento Norte (Galicia/La Mosca),1,1599000000,3,212.1,10.0,0,0,3
Corregimiento Centro (Río Abajo),1,1804000000,4,1150.59,6.0,0,0,2
Corregimiento Centro (Río Abajo),1,1528000000,4,912.27,6.0,0,0,2
Corregimiento Centro (Río Abajo),1,1299000000,3,1086.48,6.0,0,0,2
Comuna 4 (El Porvenir),1,725000000,3,154.17,2.5,1,1,0
Comuna 2 (San Antonio),1,722000000,3,160.81,3.5,0,1,0
Comuna 3 (Uribe Jaramillo),1,508000000,2,101.96,12.0,0,1,1
Comuna 2 (San Antonio),1,733000000,4,145.54,3.5,0,1,0
Corregimiento Norte (Galicia/La Mosca),1,2300000000,4,284.09,10.0,0,0,3
Comuna 1 (Centro Histórico),0,576000000,2,163.08,1.5,0,1,0
Corregimiento Centro (Río Abajo),1,875000000,3,699.94,6.0,0,0,2
Comuna 2 (San Antonio),1,540000000,3,122.11,3.5,0,1,0
Corregimiento Norte (Galicia/La Mosca),1,1425000000,2,229.91,10.0,0,0,3
Comuna 1 (Centro Histórico),0,288000000,2,84.04,1.5,0,1,0
Comuna 1 (Centro Histórico),0,475000000,3,120.88,1.5,0,1,0
Corregimiento Centro (Río Abajo),1,1893000000,4,1177.6,6.0,0,0,2
Comuna 3 (Uribe Jaramillo),1,827000000,3,133.32,12.0,0,1,1
Corregimiento Sur (Cabeceras),1,6662000000,6,462.01,14.0,1,0,2
Comuna 4 (El Porvenir),1,837000000,4,155.74,2.5,1,1,0
Comuna 2 (San Antonio),1,930000000,4,189.44,3.5,0,1,0
Comuna 1 (Centro Histórico),0,529000000,3,130.68,1.5,0,1,0
Comuna 2 (San Antonio),1,903000000,5,158.64,3.5,0,1,0
Corregimiento Sur (Cabeceras),1,3485000000,5,283.3,14.0,1,0,2
Comuna 4 (El Porvenir),1,760000000,3,159.17,2.5,1,1,0
Corregimiento Sur (Cabeceras),1,1698000000,4,163.64,14.0,1,0,2
Comuna 4 (El Porvenir),1,1094000000,4,216.57,2.5,1,1,0
Corregimiento Occidente (Llanogrande),1,2957000000,6,362.9,12.0,1,0,1
Comuna 4 (El Porvenir),1,955000000,3,198.77,2.5,1,1,0
Corregimiento Centro (Río Abajo),1,1743000000,3,1464.69,6.0,0,0,2
Comuna 3 (Uribe Jaramillo),1,529000000,2,104.91,12.0,0,1,1
Corregimiento Sur (Cabeceras),1,2927000000,4,304.43,14.0,1,0,2
Comuna 1 (Centro Histórico),0,533000000,3,130.16,1.5,0,1,0
Corregimiento Centro (Río Abajo),1,2030000000,4,1303.14,6.0,0,0,2
Corregimiento Occidente (Llanogrande),1,3336000000,5,468.32,12.0,1,0,1
Comuna 3 (Uribe Jaramillo),1,544000000,3,94.85,12.0,0,1,1
Comuna 2 (San Antonio),1,870000000,5,151.02,3.5,0,1,0
Corregimiento Centro (Río Abajo),1,1391000000,3,1165.87,6.0,0,0,2
Corregimiento Sur (Cabeceras),1,4468000000,5,386.46,14.0,1,0,2
Corregimiento Norte (Galicia/La Mosca),1,1482000000,3,201.91,10.0,0,0,3
Corregimiento Norte (Galicia/La Mosca),1,1396000000,2,225.03,10.0,0,0,3
Comuna 1 (Centro Histórico),0,489000000,3,120.04,1.5,0,1,0
Comuna 4 (El Porvenir),1,750000000,3,164.77,2.5,1,1,0
Comuna 1 (Centro Histórico),0,658000000,4,132.33,1.5,0,1,0
Corregimiento Norte (Galicia/La Mosca),1,1859000000,4,226.84,10.0,0,0,3
Comuna 2 (San Antonio),1,715000000,4,148.42,3.5,0,1,0
Corregimiento Occidente (Llanogrande),1,4349000000,5,624.4,12.0,1,0,1
Corregimiento Occidente (Llanogrande),1,4819000000,5,686.26,12.0,1,0,1
Corregimiento Sur (Cabeceras),1,5569000000,6,399.95,14.0,1,0,2
Corregimiento Occidente (Llanogrande),1,3531000000,6,427.63,12.0,1,0,1
Corregimiento Sur (Cabeceras),1,3077000000,5,269.89,14.0,1,0,2
Corregimiento Centro (Río Abajo),1,1537000000,3,1257.24,6.0,0,0,2
Corregimiento Sur (Cabeceras),1,4291000000,6,303.86,14.0,1,0,2
Corregimiento Centro (Río Abajo),1,1323000000,3,1140.05,6.0,0,0,2
Corregimiento Sur (Cabeceras),1,6482000000,5,530.44,14.0,1,0,2
Corregimiento Norte (Galicia/La Mosca),1,1618000000,3,211.09,10.0,0,0,3
Corregimiento Norte (Galicia/La Mosca),1,1351000000,3,185.39,10.0,0,0,3
Comuna 4 (El Porvenir),1,759000000,3,165.06,2.5,1,1,0
Corregimiento Centro (Río Abajo),1,1682000000,4,1069.67,6.0,0,0,2
Comuna 3 (Uribe Jaramillo),1,678000000,2,129.72,12.0,0,1,1
Corregimiento Centro (Río Abajo),1,634000000,3,504.82,6.0,0,0,2
Corregimiento Sur (Cabeceras),1,3674000000,4,352.97,14.0,1,0,2
Corregimiento Sur (Cabeceras),1,2134000000,4,208.54,14.0,1,0,2
Comuna 3 (Uribe Jaramillo),1,587000000,3,93.99,12.0,0,1,1
Comuna 1 (Centro Histórico),0,698000000,4,145.85,1.5,0,1,0
Corregimiento Sur (Cabeceras),1,3706000000,4,365.39,14.0,1,0,2
Comuna 4 (El Porvenir),1,953000000,4,190.75,2.5,1,1,0
Corregimiento Occidente (Llanogrande),1,4948000000,6,596.56,12.0,1,0,1
Corregimiento Occidente (Llanogrande),1,4433000000,6,534.22,12.0,1,0,1
Comuna 2 (San Antonio),1,893000000,4,179.58,3.5,0,1,0
Comuna 2 (San Antonio),1,675000000,5,119.57,3.5,0,1,0
Corregimiento Occidente (Llanogrande),1,3880000000,6,458.11,12.0,1,0,1
Corregimiento Occidente (Llanogrande),1,5528000000,6,652.05,12.0,1,0,1
Corregimiento Norte (Galicia/La Mosca),1,917000000,2,147.46,10.0,0,0,3
Comuna 4 (El Porvenir),1,777000000,3,170.55,2.5,1,1,0
Comuna 3 (Uribe Jaramillo),1,664000000,3,114.77,12.0,0,1,1
Comuna 2 (San Antonio),1,690000000,4,135.62,3.5,0,1,0
Corregimiento Norte (Galicia/La Mosca),1,2287000000,4,265.99,10.0,0,0,3
Corregimiento Norte (Galicia/La Mosca),1,1689000000,3,218.11,10.0,0,0,3
Comuna 3 (Uribe Jaramillo),1,539000000,2,106.18,12.0,0,1,1
Corregimiento Norte (Galicia/La Mosca),1,1241000000,2,188.35,10.0,0,0,3
Corregimiento Centro (Río Abajo),1,1710000000,4,1088.79,6.0,0,0,2
Comuna 4 (El Porvenir),1,858000000,3,186.26,2.5,1,1,0
Corregimiento Occidente (Llanogrande),1,5773000000,6,667.02,12.0,1,0,1
Corregimiento Sur (Cabeceras),1,3828000000,5,311.88,14.0,1,0,2
Comuna 3 (Uribe Jaramillo),1,570000000,3,97.69,12.0,0,1,1
Corregimiento Occidente (Llanogrande),1,4970000000,6,584.86,12.0,1,0,1
Corregimiento Occidente (Llanogrande),1,5561000000,6,672.22,12.0,1,0,1
Comuna 1 (Centro Histórico),0,318000000,3,75.08,1.5,0,1,0
Corregimiento Centro (Río Abajo),1,600000000,3,492.08,6.0,0,0,2
Comuna 3 (Uribe Jaramillo),1,604000000,3,97.31,12.0,0,1,1
Corregimiento Norte (Galicia/La Mosca),1,1228000000,3,169.15,10.0,0,0,3
Corregimiento Sur (Cabeceras),1,5421000000,6,405.88,14.0,1,0,2
Comuna 3 (Uribe Jaramillo),1,625000000,3,99.67,12.0,0,1,1
Corregimiento Norte (Galicia/La Mosca),1,930000000,2,140.38,10.0,0,0,3
Corregimiento Occidente (Llanogrande),1,3068000000,5,444.12,12.0,1,0,1
Corregimiento Sur (Cabeceras),1,3950000000,5,336.24,14.0,1,0,2
Corregimiento Norte (Galicia/La Mosca),1,1607000000,3,217.55,10.0,0,0,3
Comuna 4 (El Porvenir),1,1053000000,3,218.02,2.5,1,1,0
Corregimiento Norte (Galicia/La Mosca),1,945000000,2,143.14,10.0,0,0,3
Comuna 1 (Centro Histórico),0,657000000,4,138.06,1.5,0,1,0
Corregimiento Centro (Río Abajo),1,1655000000,4,997.01,6.0,0,0,2
Corregimiento Occidente (Llanogrande),1,5539000000,5,750.13,12.0,1,0,1
Corregimiento Norte (Galicia/La Mosca),1,2170000000,4,257.36,10.0,0,0,3
Corregimiento Centro (Río Abajo),1,1633000000,4,984.8,6.0,0,0,2
Comuna 2 (San Antonio),1,882000000,3,202.35,3.5,0,1,0
Comuna 2 (San Antonio),1,803000000,5,145.31,3.5,0,1,0
Corregimiento Centro (Río Abajo),1,1558000000,3,1323.73,6.0,0,0,2
Corregimiento Centro (Río Abajo),1,1467000000,3,1241.74,6.0,0,0,2
Comuna 1 (Centro Histórico),0,548000000,2,160.17,1.5,0,1,0
Comuna 4 (El Porvenir),1,947000000,4,174.21,2.5,1,1,0
Corregimiento Occidente (Llanogrande),1,3487000000,5,495.98,12.0,1,0,1
Comuna 3 (Uribe Jaramillo),1,365000000,2,70.56,12.0,0,1,1
Comuna 1 (Centro Histórico),0,577000000,2,162.71,1.5,0,1,0
Comuna 4 (El Porvenir),1,694000000,4,137.89,2.5,1,1,0
Corregimiento Centro (Río Abajo),1,1814000000,4,1139.77,6.0,0,0,2
Comuna 3 (Uribe Jaramillo),1,529000000,2,105.8,12.0,0,1,1
Corregimiento Centro (Río Abajo),1,2044000000,4,1236.92,6.0,0,0,2
Corregimiento Centro (Río Abajo),1,1243000000,3,1017.7,6.0,0,0,2
Comuna 2 (San Antonio),1,858000000,5,151.5,3.5,0,1,0
Comuna 2 (San Antonio),1,866000000,5,163.95,3.5,0,1,0
Comuna 3 (Uribe Jaramillo),1,608000000,3,99.1,12.0,0,1,1
Comuna 1 (Centro Histórico),0,770000000,4,155.88,1.5,0,1,0
Comuna 2 (San Antonio),1,627000000,3,136.17,3.5,0,1,0
Corregimiento Occidente (Llanogrande),1,4239000000,5,578.26,12.0,1,0,1
Corregimiento Centro (Río Abajo),1,1914000000,4,1175.52,6.0,0,0,2
Corregimiento Sur (Cabeceras),1,4187000000,4,440.38,14.0,1,0,2
Corregimiento Norte (Galicia/La Mosca),1,1150000000,3,157.08,10.0,0,0,3
Comuna 3 (Uribe Jaramillo),1,686000000,3,114.47,12.0,0,1,1
Comuna 3 (Uribe Jaramillo),1,742000000,3,119.15,12.0,0,1,1
Comuna 2 (San Antonio),1,512000000,4,108.64,3.5,0,1,0
Comuna 1 (Centro Histórico),0,666000000,4,133.87,1.5,0,1,0
Corregimiento Centro (Río Abajo),1,1331000000,3,1140.73,6.0,0,0,2
Corregimiento Occidente (Llanogrande),1,4473000000,6,541.96,12.0,1,0,1
Comuna 1 (Centro Histórico),0,458000000,3,115.89,1.5,0,1,0
Comuna 4 (El Porvenir),1,876000000,3,190.91,2.5,1,1,0
Comuna 4 (El Porvenir),1,849000000,3,177.4,2.5,1,1,0
Corregimiento Sur (Cabeceras),1,6193000000,6,435.2,14.0,1,0,2
Comuna 2 (San Antonio),1,714000000,3,166.46,3.5,0,1,0
Comuna 2 (San Antonio),1,650000000,5,119.65,3.5,0,1,0
Comuna 2 (San Antonio),1,474000000,4,93.22,3.5,0,1,0
Corregimiento Sur (Cabeceras),1,3419000000,4,326.07,14.0,1,0,2
Comuna 4 (El Porvenir),1,652000000,4,122.55,2.5,1,1,0
Comuna 1 (Centro Histórico),0,693000000,4,143.56,1.5,0,1,0
Corregimiento Sur (Cabeceras),1,3090000000,4,312.44,14.0,1,0,2
Corregimiento Sur (Cabeceras),1,2668000000,5,222.01,14.0,1,0,2
Comuna 1 (Centro Histórico),0,565000000,2,160.83,1.5,0,1,0
Comuna 2 (San Antonio),1,627000000,4,131.08,3.5,0,1,0
Corregimiento Occidente (Llanogrande),1,5541000000,6,653.17,12.0,1,0,1
Comuna 1 (Centro Histórico),0,657000000,3,159.23,1.5,0,1,0
Comuna 4 (El Porvenir),1,792000000,4,145.63,2.5,1,1,0
Comuna 3 (Uribe Jaramillo),1,482000000,2,93.48,12.0,0,1,1
Corregimiento Centro (Río Abajo),1,1292000000,3,1083.01,6.0,0,0,2
Comuna 3 (Uribe Jaramillo),1,449000000,3,74.19,12.0,0,1,1
Corregimiento Norte (Galicia/La Mosca),1,2051000000,3,266.91,10.0,0,0,3
Corregimiento Norte (Galicia/La Mosca),1,1333000000,2,196.38,10.0,0,0,3
Corregimiento Sur (Cabeceras),1,5147000000,6,355.58,14.0,1,0,2
Corregimiento Centro (Río Abajo),1,1143000000,4,681.34,6.0,0,0,2
Comuna 3 (Uribe Jaramillo),1,600000000,2,121.63,12.0,0,1,1
Corregimiento Occidente (Llanogrande),1,4770000000,6,569.68,12.0,1,0,1
Comuna 2 (San Antonio),1,964000000,3,222.28,3.5,0,1,0
Comuna 4 (El Porvenir),1,826000000,3,174.66,2.5,1,1,0
Corregimiento Norte (Galicia/La Mosca),1,1162000000,2,179.47,10.0,0,0,3
Corregimiento Occidente (Llanogrande),1,3899000000,5,546.16,12.0,1,0,1
Comuna 4 (El Porvenir),1,893000000,3,188.06,2.5,1,1,0
Comuna 4 (El Porvenir),1,948000000,4,173.74,2.5,1,1,0
Comuna 2 (San Antonio),1,438000000,3,97.47,3.5,0,1,0
Corregimiento Centro (Río Abajo),1,2030000000,4,1222.12,6.0,0,0,2
Corregimiento Sur (Cabeceras),1,3622000000,5,308.65,14.0,1,0,2
Comuna 3 (Uribe Jaramillo),1,799000000,3,127.95,12.0,0,1,1
Comuna 2 (San Antonio),1,617000000,5,112.94,3.5,0,1,0
Corregimiento Occidente (Llanogrande),1,3827000000,5,517.92,12.0,1,0,1
Corregimiento Sur (Cabeceras),1,3267000000,5,278.12,14.0,1,0,2
Corregimiento Occidente (Llanogrande),1,3144000000,6,382.68,12.0,1,0,1
Corregimiento Sur (Cabeceras),1,4529000000,4,431.83,14.0,1,0,2
Corregimiento Centro (Río Abajo),1,1258000000,3,1049.7,6.0,0,0,2
Corregimiento Norte (Galicia/La Mosca),1,1729000000,3,231.12,10.0,0,0,3
Corregimiento Occidente (Llanogrande),1,6132000000,6,691.19,12.0,1,0,1
Comuna 2 (San Antonio),1,683000000,3,152.13,3.5,0,1,0
Corregimiento Sur (Cabeceras),1,3757000000,6,270.19,14.0,1,0,2
Corregimiento Sur (Cabeceras),1,3475000000,5,289.62,14.0,1,0,2
Comuna 4 (El Porvenir),1,691000000,3,149.1,2.5,1,1,0
Comuna 4 (El Porvenir),1,937000000,4,179.94,2.5,1,1,0
Comuna 1 (Centro Histórico),0,482000000,2,132.3,1.5,0,1,0
Corregimiento Occidente (Llanogrande),1,4681000000,5,676.01,12.0,1,0,1
Comuna 4 (El Porvenir),1,654000000,3,136.36,2.5,1,1,0
Comuna 1 (Centro Histórico),0,731000000,4,152.14,1.5,0,1,0
Corregimiento Norte (Galicia/La Mosca),1,1859000000,3,240.18,10.0,0,0,3
Corregimiento Norte (Galicia/La Mosca),1,1488000000,2,235.54,10.0,0,0,3
Comuna 4 (El Porvenir),1,798000000,3,171.7,2.5,1,1,0
Corregimiento Occidente (Llanogrande),1,4858000000,5,644.07,12.0,1,0,1
Corregimiento Sur (Cabeceras),1,4852000000,4,467.97,14.0,1,0,2
Comuna 3 (Uribe Jaramillo),1,381000000,2,77.74,12.0,0,1,1
Corregimiento Centro (Río Abajo),1,2447000000,4,1514.11,6.0,0,0,2
Corregimiento Occidente (Llanogrande),1,4689000000,6,547.71,12.0,1,0,1
