Sector,Tiene_parqueadero,Precio_venta_COP,Estrato,Area_construida_m2,Distancia_CC_San_Nicolas_km,Urbana_Rural,Tiene_conjunto_cerrado,Topografia
Corregimiento Sur (Cabeceras),1,1577876399,4,214.8,9.99,Rural,0,Ondulada
Corregimiento Norte (Galicia/La Mosca),1,634217630,4,122.0,7.45,Rural,0,Montañosa y Quebrada
Corregimiento Norte (Galicia/La Mosca),1,663015237,2,162.3,12.52,Rural,0,Montañosa y Quebrada
Comuna 1 (Centro Histórico),0,262955539,2,78.7,1.46,Urbana,1,Mayormente Plana
Corregimiento Occidente (Llanogrande),0,4131014127,6,350.5,12.79,Rural,1,Plana y levemente ondulada
Corregimiento Sur (Cabeceras),1,1610006740,6,152.1,13.58,Rural,1,Ondulada
Corregimiento Sur (Cabeceras),1,1644183693,6,202.4,17.23,Rural,1,Ondulada
Comuna 3 (Uribe Jaramillo),0,308964933,2,79.0,2.55,Urbana,0,Plana y Ondulada
Corregimiento Centro (Río Abajo),1,817989961,4,199.5,5.44,Rural,0,Ondulada
Corregimiento Norte (Galicia/La Mosca),1,547294035,3,146.7,8.54,Rural,0,Montañosa y Quebrada
Comuna 1 (Centro Histórico),1,323487478,3,68.7,1.06,Urbana,0,Mayormente Plana
Comuna 3 (Uribe Jaramillo),0,194457035,3,64.3,1.69,Urbana,0,Plana y Ondulada
Comuna 4 (El Porvenir),0,353571131,3,50.1,2.18,Urbana,1,Plana
Comuna 2 (San Antonio),1,421443409,3,99.2,3.02,Urbana,1,Plana
Corregimiento Centro (Río Abajo),1,906399184,3,137.0,7.68,Rural,0,Ondulada
Corregimiento Centro (Río Abajo),0,697893909,4,149.7,3.9,Rural,0,Ondulada
Corregimiento Centro (Río Abajo),1,873893179,4,211.9,7.52,Rural,0,Ondulada
Corregimiento Sur (Cabeceras),0,1506901915,4,181.5,15.89,Rural,1,Ondulada
Comuna 4 (El Porvenir),1,451501387,3,67.5,2.93,Urbana,1,Plana
Corregimiento Centro (Río Abajo),1,926252819,4,162.0,7.4,Rural,0,Ondulada
Comuna 4 (El Porvenir),1,306284764,4,59.6,2.52,Urbana,1,Plana
Corregimiento Occidente (Llanogrande),1,4233950804,6,311.7,11.66,Rural,0,Plana y levemente ondulada
Corregimiento Centro (Río Abajo),1,622848495,4,228.8,6.7,Rural,0,Ondulada
Comuna 2 (San Antonio),1,390588571,5,89.2,3.48,Urbana,1,Plana
Comuna 4 (El Porvenir),1,381423241,4,58.6,2.23,Urbana,1,Plana
Comuna 4 (El Porvenir),1,290903114,3,66.4,2.43,Urbana,1,Plana
Comuna 2 (San Antonio),1,402463597,3,81.8,3.36,Urbana,1,Plana
Corregimiento Centro (Río Abajo),1,682416105,3,165.0,5.99,Rural,0,Ondulada
Comuna 2 (San Antonio),1,398221689,4,76.2,3.14,Urbana,0,Plana
Comuna 4 (El Porvenir),1,411077243,4,62.8,2.05,Urbana,1,Plana
Comuna 2 (San Antonio),0,442225971,5,78.3,3.88,Urbana,0,Plana
Comuna 4 (El Porvenir),0,365939224,4,51.6,2.08,Urbana,0,Plana
Comuna 4 (El Porvenir),1,285504805,3,64.4,2.21,Urbana,1,Plana
Corregimiento Occidente (Llanogrande),1,3947911786,6,306.4,13.73,Rural,1,Plana y levemente ondulada
Comuna 1 (Centro Histórico),0,320242346,4,60.2,1.75,Urbana,0,Mayormente Plana
Comuna 4 (El Porvenir),1,333537884,4,66.6,2.4,Urbana,1,Plana
Corregimiento Centro (Río Abajo),1,876559835,4,144.4,5.67,Rural,0,Ondulada
Comuna 3 (Uribe Jaramillo),0,276344999,3,62.5,2.35,Urbana,0,Plana y Ondulada
Corregimiento Sur (Cabeceras),1,1220509059,4,232.5,15.62,Rural,0,Ondulada
Corregimiento Norte (Galicia/La Mosca),1,613890981,3,145.6,10.04,Rural,0,Montañosa y Quebrada
Comuna 1 (Centro Histórico),0,302336844,3,55.7,1.37,Urbana,1,Mayormente Plana
Comuna 1 (Centro Histórico),0,296512757,4,71.3,1.5,Urbana,0,Mayormente Plana
Comuna 1 (Centro Histórico),0,295051221,4,60.0,1.57,Urbana,0,Mayormente Plana
Corregimiento Occidente (Llanogrande),0,3638204109,6,326.6,12.89,Rural,1,Plana y levemente ondulada
Comuna 4 (El Porvenir),1,422460396,4,73.5,2.4,Urbana,1,Plana
Corregimiento Occidente (Llanogrande),1,3147346586,5,355.0,13.53,Rural,1,Plana y levemente ondulada
Comuna 4 (El Porvenir),0,344255633,4,58.4,2.39,Urbana,1,Plana
Corregimiento Centro (Río Abajo),1,740125865,4,201.2,4.55,Rural,0,Ondulada
Corregimiento Occidente (Llanogrande),0,3522432269,6,386.4,13.29,Rural,1,Plana y levemente ondulada
Corregimiento Occidente (Llanogrande),1,3377294870,5,406.6,12.16,Rural,1,Plana y levemente ondulada
Corregimiento Sur (Cabeceras),0,1448328398,6,166.2,14.92,Rural,1,Ondulada
Comuna 3 (Uribe Jaramillo),0,262207968,2,73.4,2.2,Urbana,0,Plana y Ondulada
Corregimiento Occidente (Llanogrande),1,3734660443,5,402.0,12.56,Rural,1,Plana y levemente ondulada
Corregimiento Sur (Cabeceras),1,1246365647,6,176.0,13.39,Rural,1,Ondulada
Comuna 2 (San Antonio),1,438813250,4,77.3,3.13,Urbana,1,Plana
Comuna 3 (Uribe Jaramillo),0,259110863,3,56.9,1.79,Urbana,0,Plana y Ondulada
Corregimiento Centro (Río Abajo),1,868783829,3,166.4,6.41,Rural,0,Ondulada
Corregimiento Occidente (Llanogrande),1,2700774483,6,390.0,13.31,Rural,1,Plana y levemente ondulada
Corregimiento Norte (Galicia/La Mosca),0,471150698,3,157.0,9.33,Rural,0,Montañosa y Quebrada
Comuna 1 (Centro Histórico),0,330313636,3,71.5,1.81,Urbana,0,Mayormente Plana
Comuna 2 (San Antonio),1,579659023,5,86.4,3.3,Urbana,1,Plana
Comuna 2 (San Antonio),1,436110728,4,68.0,4.27,Urbana,1,Plana
Corregimiento Centro (Río Abajo),1,770491248,3,220.9,6.5,Rural,0,Ondulada
Corregimiento Sur (Cabeceras),1,1464792590,4,241.5,16.3,Rural,1,Ondulada
Comuna 2 (San Antonio),1,413738656,4,94.9,3.93,Urbana,1,Plana
Comuna 3 (Uribe Jaramillo),0,209183799,3,66.1,1.49,Urbana,0,Plana y Ondulada
Corregimiento Occidente (Llanogrande),1,3039320888,5,276.1,13.16,Rural,0,Plana y levemente ondulada
Corregimiento Occidente (Llanogrande),1,3629849683,6,284.0,13.58,Rural,1,Plana y levemente ondulada
Corregimiento Norte (Galicia/La Mosca),1,615772067,2,106.5,12.09,Rural,0,Montañosa y Quebrada
Corregimiento Centro (Río Abajo),0,804140428,3,215.5,5.15,Rural,0,Ondulada
Comuna 1 (Centro Histórico),0,378893766,3,66.2,1.61,Urbana,0,Mayormente Plana
Corregimiento Sur (Cabeceras),0,1656614719,4,185.7,13.91,Rural,1,Ondulada
Comuna 1 (Centro Histórico),0,301038630,3,76.6,1.35,Urbana,0,Mayormente Plana
Comuna 2 (San Antonio),1,427354090,5,71.4,3.14,Urbana,1,Plana
Corregimiento Centro (Río Abajo),1,849318824,4,194.2,5.31,Rural,0,Ondulada
Corregimiento Norte (Galicia/La Mosca),1,650461234,4,171.8,9.45,Rural,0,Montañosa y Quebrada
Comuna 1 (Centro Histórico),0,313738491,4,62.1,1.54,Urbana,0,Mayormente Plana
Comuna 3 (Uribe Jaramillo),1,317633550,2,56.5,1.38,Urbana,0,Plana y Ondulada
Corregimiento Occidente (Llanogrande),1,3051390932,5,328.8,12.62,Rural,0,Plana y levemente ondulada
Comuna 2 (San Antonio),1,477391868,4,82.6,3.05,Urbana,1,Plana
Corregimiento Norte (Galicia/La Mosca),0,677761150,4,147.7,12.33,Rural,0,Montañosa y Quebrada
Comuna 1 (Centro Histórico),0,305068145,4,62.7,1.59,Urbana,0,Mayormente Plana
Corregimiento Sur (Cabeceras),0,1372343144,4,219.1,15.9,Rural,1,Ondulada
Comuna 3 (Uribe Jaramillo),0,211041305,3,57.5,1.39,Urbana,0,Plana y Ondulada
Comuna 3 (Uribe Jaramillo),1,246928961,2,68.9,2.09,Urbana,0,Plana y Ondulada
Comuna 1 (Centro Histórico),0,325517040,4,71.5,1.88,Urbana,0,Mayormente Plana
Corregimiento Occidente (Llanogrande),1,4539539498,6,383.7,10.98,Rural,1,Plana y levemente ondulada
Comuna 1 (Centro Histórico),0,353291387,3,70.1,1.63,Urbana,0,Mayormente Plana
Comuna 2 (San Antonio),1,374769069,3,59.1,3.75,Urbana,1,Plana
Comuna 1 (Centro Histórico),0,324749639,2,55.4,1.73,Urbana,0,Mayormente Plana
Comuna 3 (Uribe Jaramillo),0,208531235,3,53.0,2.07,Urbana,0,Plana y Ondulada
Corregimiento Norte (Galicia/La Mosca),1,665411464,4,157.2,10.43,Rural,0,Montañosa y Quebrada
Comuna 1 (Centro Histórico),0,255139187,2,60.2,1.81,Urbana,0,Mayormente Plana
Corregimiento Occidente (Llanogrande),1,4365201465,6,343.8,12.03,Rural,1,Plana y levemente ondulada
Corregimiento Centro (Río Abajo),1,840353347,4,160.1,6.21,Rural,0,Ondulada
Corregimiento Norte (Galicia/La Mosca),1,598302159,2,159.8,10.6,Rural,0,Montañosa y Quebrada
Corregimiento Sur (Cabeceras),1,1518832365,4,206.5,16.07,Rural,0,Ondulada
Comuna 4 (El Porvenir),1,338054081,4,84.3,2.5,Urbana,1,Plana
Comuna 1 (Centro Histórico),0,293378722,4,63.1,1.6,Urbana,1,Mayormente Plana
Corregimiento Occidente (Llanogrande),1,2447072509,5,378.1,15.96,Rural,1,Plana y levemente ondulada
Corregimiento Norte (Galicia/La Mosca),1,582496837,4,179.1,11.36,Rural,0,Montañosa y Quebrada
Corregimiento Occidente (Llanogrande),1,3381451457,6,362.3,11.34,Rural,1,Plana y levemente ondulada
Corregimiento Sur (Cabeceras),0,1396794270,6,211.8,12.25,Rural,1,Ondulada
Comuna 3 (Uribe Jaramillo),0,236497854,3,69.7,2.31,Urbana,0,Plana y Ondulada
Corregimiento Occidente (Llanogrande),1,1949019306,5,316.3,14.27,Rural,1,Plana y levemente ondulada
Corregimiento Norte (Galicia/La Mosca),1,611740717,4,173.1,8.88,Rural,0,Montañosa y Quebrada
Corregimiento Occidente (Llanogrande),1,3760136801,6,318.7,13.49,Rural,1,Plana y levemente ondulada
Corregimiento Occidente (Llanogrande),1,3108206664,6,294.9,10.25,Rural,0,Plana y levemente ondulada
Corregimiento Occidente (Llanogrande),1,3617561609,5,247.8,9.6,Rural,1,Plana y levemente ondulada
Comuna 2 (San Antonio),1,508688390,4,85.2,3.74,Urbana,1,Plana
Comuna 2 (San Antonio),1,532498376,4,99.3,4.14,Urbana,1,Plana
Comuna 3 (Uribe Jaramillo),0,269651056,2,65.6,2.03,Urbana,1,Plana y Ondulada
Comuna 1 (Centro Histórico),1,287786772,4,65.1,1.32,Urbana,0,Mayormente Plana
Corregimiento Occidente (Llanogrande),1,2851654700,6,394.7,10.36,Rural,1,Plana y levemente ondulada
Corregimiento Sur (Cabeceras),1,1315012738,6,161.4,15.88,Rural,1,Ondulada
Comuna 1 (Centro Histórico),0,305475305,4,85.2,1.21,Urbana,0,Mayormente Plana
Corregimiento Sur (Cabeceras),1,1560841830,5,226.8,12.34,Rural,1,Ondulada
Comuna 1 (Centro Histórico),0,296858532,3,81.1,1.38,Urbana,0,Mayormente Plana
Comuna 3 (Uribe Jaramillo),0,314798644,2,55.8,2.42,Urbana,0,Plana y Ondulada
Corregimiento Occidente (Llanogrande),1,3066003188,6,454.0,11.2,Rural,1,Plana y levemente ondulada
Corregimiento Occidente (Llanogrande),1,3696581643,6,397.3,14.41,Rural,1,Plana y levemente ondulada
Comuna 4 (El Porvenir),1,242197320,4,61.9,2.62,Urbana,1,Plana
Corregimiento Sur (Cabeceras),1,1788628868,5,202.3,13.67,Rural,0,Ondulada
Comuna 1 (Centro Histórico),0,303289413,3,76.0,1.63,Urbana,0,Mayormente Plana
Comuna 1 (Centro Histórico),0,336729984,3,58.9,1.39,Urbana,1,Mayormente Plana
Corregimiento Centro (Río Abajo),1,815328146,3,241.8,4.41,Rural,1,Ondulada
Corregimiento Centro (Río Abajo),1,893843287,4,155.4,6.87,Rural,0,Ondulada
Comuna 2 (San Antonio),0,397251084,5,86.2,2.57,Urbana,1,Plana
Comuna 4 (El Porvenir),1,275240323,3,60.2,2.55,Urbana,0,Plana
Corregimiento Norte (Galicia/La Mosca),1,546662068,2,146.5,9.47,Rural,1,Montañosa y Quebrada
Corregimiento Centro (Río Abajo),1,737027703,4,190.7,6.73,Rural,0,Ondulada
Corregimiento Norte (Galicia/La Mosca),1,602989491,2,134.7,10.14,Rural,0,Montañosa y Quebrada
Comuna 2 (San Antonio),1,541435571,4,65.3,2.95,Urbana,1,Plana
Comuna 2 (San Antonio),1,379121302,4,78.3,2.89,Urbana,1,Plana
Comuna 2 (San Antonio),1,452414956,4,77.9,3.64,Urbana,1,Plana
Corregimiento Sur (Cabeceras),1,1546262095,4,179.3,11.06,Rural,1,Ondulada
Corregimiento Sur (Cabeceras),1,1789998000,4,166.7,9.84,Rural,1,Ondulada
Comuna 3 (Uribe Jaramillo),0,177934148,3,39.8,2.06,Urbana,0,Plana y Ondulada
Comuna 3 (Uribe Jaramillo),0,241543997,3,62.7,2.52,Urbana,0,Plana y Ondulada
Comuna 2 (San Antonio),0,525361197,4,89.9,2.71,Urbana,1,Plana
Comuna 4 (El Porvenir),1,351181931,4,42.8,2.19,Urbana,1,Plana
Comuna 1 (Centro Histórico),0,323842705,2,40.9,1.46,Urbana,1,Mayormente Plana
Corregimiento Sur (Cabeceras),1,1888281103,5,203.7,13.61,Rural,1,Ondulada
Comuna 4 (El Porvenir),0,384129668,4,65.9,2.31,Urbana,0,Plana
Corregimiento Occidente (Llanogrande),1,3273102446,5,308.4,9.88,Rural,1,Plana y levemente ondulada
Corregimiento Sur (Cabeceras),1,1605421536,4,178.8,12.3,Rural,1,Ondulada
Corregimiento Sur (Cabeceras),1,1381755669,5,224.3,16.05,Rural,0,Ondulada
Comuna 3 (Uribe Jaramillo),1,246312387,2,56.0,1.83,Urbana,0,Plana y Ondulada
Comuna 1 (Centro Histórico),0,373559995,2,80.5,1.52,Urbana,0,Mayormente Plana
Comuna 1 (Centro Histórico),0,280187641,4,64.5,1.6,Urbana,0,Mayormente Plana
Corregimiento Centro (Río Abajo),1,644358740,4,120.4,7.25,Rural,0,Ondulada
Corregimiento Norte (Galicia/La Mosca),0,718429854,3,183.6,10.06,Rural,1,Montañosa y Quebrada
Corregimiento Norte (Galicia/La Mosca),1,463398082,3,161.2,7.71,Rural,0,Montañosa y Quebrada
Corregimiento Norte (Galicia/La Mosca),1,496125295,2,141.9,11.79,Rural,0,Montañosa y Quebrada
Corregimiento Norte (Galicia/La Mosca),0,587374527,3,138.2,8.82,Rural,0,Montañosa y Quebrada
Corregimiento Occidente (Llanogrande),1,3757394934,6,369.1,8.9,Rural,0,Plana y levemente ondulada
Corregimiento Occidente (Llanogrande),0,3311838123,6,285.7,13.27,Rural,1,Plana y levemente ondulada
Corregimiento Sur (Cabeceras),1,1765828780,5,155.3,12.64,Rural,1,Ondulada
Comuna 2 (San Antonio),1,368097520,3,71.1,3.52,Urbana,1,Plana
Comuna 3 (Uribe Jaramillo),0,283381583,2,70.7,2.2,Urbana,0,Plana y Ondulada
Comuna 3 (Uribe Jaramillo),0,274845101,2,52.6,1.28,Urbana,0,Plana y Ondulada
Corregimiento Norte (Galicia/La Mosca),1,526968985,3,159.5,11.21,Rural,1,Montañosa y Quebrada
Corregimiento Sur (Cabeceras),1,1443794290,6,159.9,15.76,Rural,1,Ondulada
Corregimiento Centro (Río Abajo),1,792988575,3,206.8,6.23,Rural,0,Ondulada
Comuna 4 (El Porvenir),1,375481395,3,56.7,2.69,Urbana,1,Plana
Comuna 2 (San Antonio),1,433016491,4,79.5,3.32,Urbana,0,Plana
Corregimiento Sur (Cabeceras),1,1043105422,6,200.4,17.16,Rural,1,Ondulada
Comuna 2 (San Antonio),1,377099824,5,84.1,2.47,Urbana,1,Plana
Comuna 2 (San Antonio),1,578395776,4,77.5,3.91,Urbana,1,Plana
Comuna 2 (San Antonio),1,433253585,4,60.7,3.71,Urbana,1,Plana
Corregimiento Sur (Cabeceras),0,1741409163,4,174.4,17.37,Rural,1,Ondulada
Corregimiento Norte (Galicia/La Mosca),1,439065053,3,130.3,12.32,Rural,0,Montañosa y Quebrada
Comuna 3 (Uribe Jaramillo),0,272638906,3,61.0,1.8,Urbana,0,Plana y Ondulada
Comuna 3 (Uribe Jaramillo),0,344734907,3,68.5,1.83,Urbana,0,Plana y Ondulada
Corregimiento Norte (Galicia/La Mosca),1,510249454,4,126.2,10.47,Rural,0,Montañosa y Quebrada
Comuna 2 (San Antonio),1,398555428,4,61.7,3.65,Urbana,1,Plana
Comuna 4 (El Porvenir),1,379979152,3,71.1,3.27,Urbana,1,Plana
Comuna 1 (Centro Histórico),0,303442737,3,57.9,1.5,Urbana,0,Mayormente Plana
Corregimiento Sur (Cabeceras),1,1250064146,5,192.6,10.85,Rural,1,Ondulada
Comuna 1 (Centro Histórico),0,299727817,4,65.9,1.57,Urbana,0,Mayormente Plana
Corregimiento Centro (Río Abajo),1,714675588,4,166.4,5.55,Rural,0,Ondulada
Corregimiento Norte (Galicia/La Mosca),0,648872905,4,145.5,12.48,Rural,0,Montañosa y Quebrada
Comuna 4 (El Porvenir),1,434412353,3,73.8,1.98,Urbana,1,Plana
Corregimiento Sur (Cabeceras),1,1863853539,6,166.1,15.86,Rural,1,Ondulada
Corregimiento Norte (Galicia/La Mosca),1,582410231,3,162.3,12.36,Rural,0,Montañosa y Quebrada
Comuna 2 (San Antonio),1,446773551,4,86.5,3.59,Urbana,0,Plana
Comuna 3 (Uribe Jaramillo),0,297249446,2,67.7,2.17,Urbana,0,Plana y Ondulada
Comuna 1 (Centro Histórico),1,244694193,4,83.8,1.48,Urbana,0,Mayormente Plana
Corregimiento Occidente (Llanogrande),1,3689974854,6,453.1,12.3,Rural,1,Plana y levemente ondulada
Corregimiento Occidente (Llanogrande),1,3506573979,5,317.4,11.83,Rural,0,Plana y levemente ondulada
Comuna 4 (El Porvenir),1,335461711,3,65.9,2.37,Urbana,1,Plana
Comuna 2 (San Antonio),1,450834644,4,69.9,3.29,Urbana,1,Plana
Corregimiento Centro (Río Abajo),1,795955269,3,192.8,7.28,Rural,0,Ondulada
Comuna 1 (Centro Histórico),0,313200842,3,59.5,1.52,Urbana,0,Mayormente Plana
Comuna 2 (San Antonio),1,503795191,5,99.6,2.56,Urbana,1,Plana
Comuna 1 (Centro Histórico),0,300610815,2,59.2,1.64,Urbana,0,Mayormente Plana
Comuna 4 (El Porvenir),1,486438202,4,48.2,2.81,Urbana,1,Plana
Comuna 4 (El Porvenir),1,299527016,4,73.0,2.16,Urbana,1,Plana
Corregimiento Centro (Río Abajo),1,723584588,3,189.4,7.54,Rural,0,Ondulada
Corregimiento Occidente (Llanogrande),1,3605137483,5,356.0,10.57,Rural,1,Plana y levemente ondulada
Comuna 2 (San Antonio),1,454985782,3,94.3,3.94,Urbana,1,Plana
Corregimiento Sur (Cabeceras),0,1799078606,4,183.5,12.25,Rural,1,Ondulada
Corregimiento Occidente (Llanogrande),1,3737351076,5,280.5,7.16,Rural,1,Plana y levemente ondulada
Comuna 2 (San Antonio),1,441780314,4,99.7,2.49,Urbana,1,Plana
Corregimiento Occidente (Llanogrande),1,3581456555,6,329.1,10.51,Rural,1,Plana y levemente ondulada
Corregimiento Sur (Cabeceras),1,1371493165,5,223.5,15.39,Rural,1,Ondulada
Comuna 3 (Uribe Jaramillo),0,267654642,2,56.7,1.98,Urbana,0,Plana y Ondulada
Comuna 3 (Uribe Jaramillo),0,241715060,2,62.5,1.97,Urbana,1,Plana y Ondulada
Corregimiento Centro (Río Abajo),1,577157395,3,210.8,5.1,Rural,1,Ondulada
Comuna 3 (Uribe Jaramillo),0,332260098,2,66.7,1.93,Urbana,0,Plana y Ondulada
Comuna 3 (Uribe Jaramillo),0,250690173,2,56.4,1.73,Urbana,0,Plana y Ondulada
Corregimiento Norte (Galicia/La Mosca),1,606273384,2,133.9,11.57,Rural,0,Montañosa y Quebrada
Comuna 1 (Centro Histórico),1,358093004,2,64.6,1.68,Urbana,0,Mayormente Plana
Corregimiento Norte (Galicia/La Mosca),1,633374719,2,126.0,9.68,Rural,1,Montañosa y Quebrada
Corregimiento Norte (Galicia/La Mosca),1,667045805,4,152.7,7.88,Rural,0,Montañosa y Quebrada
Corregimiento Centro (Río Abajo),1,722866834,4,203.3,6.57,Rural,0,Ondulada
Corregimiento Norte (Galicia/La Mosca),1,660311012,3,166.0,9.26,Rural,0,Montañosa y Quebrada
Comuna 3 (Uribe Jaramillo),0,361987352,2,55.0,1.73,Urbana,0,Plana y Ondulada
Corregimiento Sur (Cabeceras),1,1647155369,5,214.3,16.7,Rural,1,Ondulada
Corregimiento Centro (Río Abajo),1,793152645,4,228.7,6.78,Rural,0,Ondulada
Corregimiento Centro (Río Abajo),1,640096410,3,193.9,5.81,Rural,0,Ondulada
Comuna 4 (El Porvenir),1,419369101,3,69.4,2.21,Urbana,1,Plana
Corregimiento Centro (Río Abajo),1,933085836,4,203.1,6.35,Rural,0,Ondulada
Comuna 4 (El Porvenir),1,288371650,3,63.4,2.71,Urbana,0,Plana
Corregimiento Centro (Río Abajo),1,892763388,4,223.4,6.04,Rural,0,Ondulada
Comuna 1 (Centro Histórico),0,205866116,3,75.0,1.48,Urbana,0,Mayormente Plana
Comuna 3 (Uribe Jaramillo),0,255216331,2,66.0,1.79,Urbana,1,Plana y Ondulada
Corregimiento Centro (Río Abajo),1,856122812,3,162.4,5.24,Rural,0,Ondulada
Comuna 3 (Uribe Jaramillo),1,273178594,3,61.5,2.23,Urbana,0,Plana y Ondulada
Comuna 3 (Uribe Jaramillo),0,238761040,3,62.0,2.0,Urbana,0,Plana y Ondulada
Corregimiento Occidente (Llanogrande),1,3202554416,6,469.3,11.69,Rural,1,Plana y levemente ondulada
Corregimiento Centro (Río Abajo),1,963220176,4,169.6,5.21,Rural,0,Ondulada
Comuna 2 (San Antonio),1,455120659,4,90.2,3.55,Urbana,1,Plana
Corregimiento Occidente (Llanogrande),0,3241532633,5,376.2,11.39,Rural,1,Plana y levemente ondulada
Comuna 2 (San Antonio),1,393337823,5,75.6,3.36,Urbana,0,Plana
Comuna 3 (Uribe Jaramillo),1,197883245,3,68.5,2.23,Urbana,0,Plana y Ondulada
Comuna 3 (Uribe Jaramillo),0,227142462,3,61.5,1.79,Urbana,0,Plana y Ondulada
Corregimiento Occidente (Llanogrande),1,3134051532,5,267.4,10.99,Rural,1,Plana y levemente ondulada
Corregimiento Occidente (Llanogrande),1,4730951695,6,387.1,10.22,Rural,1,Plana y levemente ondulada
Comuna 2 (San Antonio),1,498805061,5,72.6,4.65,Urbana,1,Plana
Comuna 4 (El Porvenir),1,353407921,4,62.6,2.2,Urbana,1,Plana
Comuna 2 (San Antonio),0,464955808,3,93.0,4.22,Urbana,0,Plana
Corregimiento Occidente (Llanogrande),1,3606181458,6,338.8,14.95,Rural,1,Plana y levemente ondulada
Corregimiento Sur (Cabeceras),1,1704305099,4,169.2,13.66,Rural,1,Ondulada
Corregimiento Occidente (Llanogrande),1,3772318520,5,399.9,11.13,Rural,1,Plana y levemente ondulada
Corregimiento Sur (Cabeceras),1,1512432622,4,238.3,15.2,Rural,1,Ondulada
Comuna 1 (Centro Histórico),0,285922359,3,80.8,1.48,Urbana,0,Mayormente Plana
Corregimiento Occidente (Llanogrande),1,2808472332,6,274.3,11.21,Rural,1,Plana y levemente ondulada
Comuna 1 (Centro Histórico),1,308908474,4,83.0,1.43,Urbana,0,Mayormente Plana
Comuna 4 (El Porvenir),0,413014384,3,47.3,2.14,Urbana,1,Plana
Comuna 2 (San Antonio),1,372918927,3,80.7,2.14,Urbana,1,Plana
Corregimiento Sur (Cabeceras),1,1312682804,6,257.8,11.68,Rural,1,Ondulada
Comuna 2 (San Antonio),1,292156096,5,72.6,3.33,Urbana,0,Plana
Comuna 1 (Centro Histórico),0,333324296,4,56.5,1.43,Urbana,0,Mayormente Plana
Corregimiento Sur (Cabeceras),1,1368389337,4,207.6,14.37,Rural,1,Ondulada
Comuna 2 (San Antonio),1,473572725,5,88.5,4.33,Urbana,1,Plana
Corregimiento Occidente (Llanogrande),1,3768280396,6,345.8,11.03,Rural,0,Plana y levemente ondulada
Comuna 3 (Uribe Jaramillo),0,267491672,2,64.0,2.26,Urbana,1,Plana y Ondulada
Comuna 1 (Centro Histórico),1,242769783,2,70.1,1.56,Urbana,0,Mayormente Plana
Comuna 2 (San Antonio),1,408277478,3,84.0,3.99,Urbana,1,Plana
Comuna 1 (Centro Histórico),0,236615223,2,88.8,1.69,Urbana,0,Mayormente Plana
Corregimiento Norte (Galicia/La Mosca),1,563501408,2,144.6,9.02,Rural,0,Montañosa y Quebrada
Comuna 1 (Centro Histórico),0,238149755,4,61.4,1.05,Urbana,0,Mayormente Plana
Corregimiento Sur (Cabeceras),1,1439894066,5,219.8,13.69,Rural,0,Ondulada
Corregimiento Norte (Galicia/La Mosca),1,697264845,4,150.1,8.61,Rural,0,Montañosa y Quebrada
Corregimiento Centro (Río Abajo),1,670145686,3,115.3,5.39,Rural,0,Ondulada
Corregimiento Sur (Cabeceras),1,1239581447,4,140.6,13.94,Rural,0,Ondulada
Comuna 3 (Uribe Jaramillo),0,318126097,2,56.0,2.32,Urbana,0,Plana y Ondulada
Corregimiento Norte (Galicia/La Mosca),1,659745723,2,145.6,8.67,Rural,0,Montañosa y Quebrada
Corregimiento Centro (Río Abajo),0,780830180,3,201.7,6.3,Rural,0,Ondulada
Corregimiento Occidente (Llanogrande),1,3774512690,5,381.2,11.24,Rural,1,Plana y levemente ondulada
Comuna 1 (Centro Histórico),1,294070882,4,79.2,1.29,Urbana,1,Mayormente Plana
Comuna 2 (San Antonio),1,431572045,4,87.0,3.55,Urbana,1,Plana
Comuna 4 (El Porvenir),1,338767340,4,78.0,2.37,Urbana,1,Plana
Comuna 1 (Centro Histórico),0,320928683,3,50.8,1.64,Urbana,0,Mayormente Plana
Corregimiento Centro (Río Abajo),1,999757019,3,160.4,4.58,Rural,0,Ondulada
Comuna 1 (Centro Histórico),1,356963720,2,68.2,1.39,Urbana,1,Mayormente Plana
Comuna 3 (Uribe Jaramillo),0,175000000,3,47.2,2.04,Urbana,0,Plana y Ondulada
Corregimiento Occidente (Llanogrande),1,2466657917,5,333.2,11.02,Rural,0,Plana y levemente ondulada
Comuna 4 (El Porvenir),1,416352437,4,59.1,2.55,Urbana,1,Plana
Corregimiento Norte (Galicia/La Mosca),1,546363989,3,106.2,11.6,Rural,0,Montañosa y Quebrada
Corregimiento Norte (Galicia/La Mosca),1,549625276,3,77.1,10.45,Rural,1,Montañosa y Quebrada
Corregimiento Norte (Galicia/La Mosca),1,604850761,3,120.2,10.61,Rural,0,Montañosa y Quebrada
Corregimiento Centro (Río Abajo),1,910000457,3,171.5,5.77,Rural,1,Ondulada
Corregimiento Sur (Cabeceras),1,1971981418,5,217.9,14.08,Rural,1,Ondulada
Corregimiento Sur (Cabeceras),1,1879370960,4,202.6,14.79,Rural,1,Ondulada
Comuna 2 (San Antonio),1,531281500,4,75.2,3.6,Urbana,1,Plana
Comuna 4 (El Porvenir),0,406684374,4,60.1,2.59,Urbana,1,Plana
Corregimiento Norte (Galicia/La Mosca),1,580134412,3,120.0,11.65,Rural,0,Montañosa y Quebrada
Corregimiento Sur (Cabeceras),1,1347999864,6,188.9,16.19,Rural,1,Ondulada
Corregimiento Centro (Río Abajo),1,716122767,4,219.6,4.16,Rural,0,Ondulada
